handle,name,cluster_primary,cluster_secondary,source,role,cities,photo_aesthetic,video_aesthetic,fashion_aesthetic,mood,connection_to_marquardt,proximity_score,match_tags,notes,url
svenmarquardt,Sven Marquardt,gallery_photo,club_techno,anchor,photographer;berghain_bouncer,"Berlin;Paris;NYC;Istanbul",analog-bw;high-contrast;portrait;daylight,exhibition-installation;grainy-clips,leather;darkwear;avant-garde-draping;tattoos,bleak;intimate;staged;underground,reference_profile,100,"analog-bw;berlin-club;fashion-editorial;punk-lineage",Bio: galeriedeschler streetmoments.nyc boldberlin PFW,https://www.instagram.com/svenmarquardt/
galeriedeschler,Marcus Deschler / Galerie Deschler,gallery_photo,,bio_link,gallery_berlin,"Berlin;NYC",figurative-art;sw-portrait;exhibition-doc,color-reels;artist-highlights,künstler-fashion;elvira-bach-plaid;noah-becker,established;figurative;body-as-art,represents_marquardt,95,"gallery-figurative;analog-bw;berlin-mitte",Auguststr 61 30 Jahre Galerie,https://www.instagram.com/galeriedeschler/
boldberlin,BOLD,pr_editorial,fashion_berlin,bio_link;similar,pr_agency_culture,"Berlin",editorial-mix;curated-lifestyle,candid-travel-reels,streetwear-curation;editorial,polished-yet-edgy;curator-voice,books_marquardt_sm@boldberlin.com,92,"cultural-marketing;berlin-mitte;fashion-bridge",Torstr 68 est 2010,https://www.instagram.com/boldberlin/
streetmoments.nyc,Street Moments NYC,gallery_photo,pr_editorial,bio_link,photo_assistant,"NYC;Berlin",street-flash;urban-candid,,nyc-streetwear;documentary,raw;urban,marquardt_assistant,88,"nyc-street;analog-bw",Listed as assistant in bio,https://www.instagram.com/streetmoments.nyc/
ostgut_ton,Ostgut Ton,club_techno,,similar,label_berghain,"Berlin",minimal-graphic;release-art,,all-black-techno,institutional;underground,marquardt_visual_identity_since_2007,90,"berlin-club;minimal-design",Berghain in-house label,https://www.instagram.com/ostgut_ton/
marceldettmann,Marcel Dettmann,club_techno,gallery_photo,similar;research,dj;producer,"Berlin",sw-portrait;ostgut-aesthetic,slide_av_live;NACHTBLENDE,dark-minimal;techno-uniform,institutional;timeless,NACHTBLENDE_collab;portrait_subject,88,"berlin-club;analog-bw;immersive-art",RA NACHTBLENDE Istanbul,https://www.instagram.com/marceldettmann/
ben_klock,Ben Klock,club_techno,,similar,dj_berghain_resident,"Berlin",club-minimal;dark,,all-black-techno,function;hypnotic,berghain_orbit,82,"berlin-club;techno",Similar account Instagram,https://www.instagram.com/ben_klock/
rodhad_wsnwg,Rødhåd,club_techno,,similar,dj_producer,"Berlin",dark-minimal,,techno-darkwear,atmospheric;reduced,berghain_orbit,80,"berlin-club;techno",Similar account Instagram,https://www.instagram.com/rodhad_wsnwg/
studio1111berlin,Studio IIII,art_club,,similar;follows,art_social_club,"Berlin",sw-flash-portrait;grain,red-filter-video;immersive,darkwear;sunglasses;androgyn,confidential;underground;immersive,marquardt_follows;berlin_confidential,90,"art-club;analog-bw;flash-portrait",Potsdamer Str 96 Thu-Sat,https://www.instagram.com/studio1111berlin/
_lolsnake_,Lolsnake,club_techno,,similar,dj;weeeirdos_founder,"Berlin;Paris",sw-portrait;berghain-flyer,club-dj-pov;mixmag,techno-goth;bandage-top;blue-streak-hair,intense;queer-techno,berghain_lineup;similar_account,85,"berlin-club;techno-goth;all-black",Klubnacht flyer in grid,https://www.instagram.com/_lolsnake_/
nici_oh,Nici Ochmann,pr_editorial,fashion_pfw,similar,adidas_culture_marketing,"Berlin;Paris",editorial;y3-campaign,work-reels,sneaker-streetwear;y3-leather,professional;club-fashion-bridge,marquardt_y3_portrait_in_grid,87,"fashion-editorial;adidas;pfw",Global Culture Marketing @adidas,https://www.instagram.com/nici_oh/
numeroberlin,Numéro Berlin,fashion_berlin,,similar,fashion_magazine,"Berlin",high-fashion-editorial,,avant-garde;editorial,luxury;berlin-fashion,marquardt_orbit_fashion,84,"fashion-editorial;berlin",Similar account Instagram,https://www.instagram.com/numeroberlin/
deichtorhallenhamburg,Deichtorhallen Hamburg,gallery_photo,,similar,museum,"Hamburg;Berlin",exhibition-doc;contemporary,,gallery-formal,institutional,exhibition_venue_marquardt,75,"gallery;exhibition",Similar account Instagram,https://www.instagram.com/deichtorhallenhamburg/
jeremy.melloul,Jeremy Melloul,fashion_pfw,,tagged,celebrity_photographer,"Paris",paparazzi-editorial;pfw-flash,,willy-chavarria;red-collar-blazer;dark-suit,pfw-front-row;celebrity,tagged_marquardt_pfw_willy_chavarria,86,"pfw;fashion-flash;celebrity",Post with @bestimageagency Paris,https://www.instagram.com/jeremy.melloul/
bestimageagency,Bestimage Agency,fashion_pfw,,tagged,photo_agency,"Paris",celebrity-fashion;pfw,,high-fashion;street-style,commercial-fashion,credited_on_marquardt_tag,83,"pfw;fashion-agency",Co-credit on jeremy.melloul PFW post,https://www.instagram.com/bestimageagency/
antoniolieu,Antonioli,fashion_pfw,,tagged,luxury_retail,"Paris;Milan",pfw-show-notes;reels,,willy-chavarria;luxury-street,high-fashion;retail,tagged_marquardt_ss27_show,85,"pfw;luxury-fashion",Willy Chavarria SS27 show notes,https://www.instagram.com/antoniolieu/
scovvv,scovvv,fashion_pfw,,tagged,unknown,"Paris",pfw-candid,,dark-blazer;red-accent,pfw,co-tagged_marquardt_pfw,80,"pfw;fashion",Tagged alongside Marquardt PFW post,https://www.instagram.com/scovvv/
karolinaahhhh,karolinaahhhh,weak_signal,,mutual_follower,personal_or_creative,"Berlin",,,,,mutual_follower_marquardt,70,berlin,Listed in mutual followers,https://www.instagram.com/karolinaahhhh/
_atavem,_atavem,weak_signal,,mutual_follower,personal_or_creative,"Berlin",,,,,mutual_follower_marquardt,70,berlin,Listed in mutual followers,https://www.instagram.com/_atavem/
mischa.fanghaenel,Mischa Fanghaenel,club_techno,gallery_photo,research,berghain_bouncer;photographer,"Berlin",club-doc;NACHTS,immersive_NACHTS,techno-darkwear,berghain-adjacent;immersive,berghain_colleague;NACHTS_berlin,88,"berlin-club;club-doc;immersive-art",Second Berghain bouncer-photographer,https://www.instagram.com/mischa.fanghaenel/
nachts_berlin,NACHTS Berlin,club_techno,art_club,research,immersive_exhibition,"Berlin",night-photography,,,immersive;club-as-art,mischa_fanghaenel_project,82,"immersive-art;berlin-club",Immersive art project,https://www.instagram.com/nachts_berlin/
lars_murasch,Lars Murasch,gallery_photo,,research,visual_artist,"Berlin",digital-composition,,,audiovisual;Slide_project,Slide_with_dettmann_marquardt,80,"immersive-art;visual-art",NACHTBLENDE lighting design,https://www.instagram.com/lars_murasch/
c24gallery,C24 Gallery,gallery_photo,,research,gallery_nyc,"NYC;LA",sw-fine-art-print,,gallery-formal,institutional,die_nacht_ist_leben_event,78,"gallery;exhibition;nyc",Studio X Noire LA event 2024,https://www.instagram.com/c24gallery/
kinfolk,Kinfolk Magazine,pr_editorial,,research,editorial_magazine,"Global",editorial-portrait,,refined-minimal,refined;cultural,marquardt_feature_issue_52,76,"editorial;magazine",Feature on Marquardt as doorman-photographer,https://www.instagram.com/kinfolk/
willychavarria,Willy Chavarria,fashion_pfw,,tagged_context,designer,"Paris;NYC",runway;street-luxury,,oversized-tailoring;chic-street,luxury;identity,pfw_marquardt_front_row,84,"pfw;designer;luxury-street",SS27 show Marquardt attended,https://www.instagram.com/willychavarria/
weeeirdos,weeeirdos,club_techno,,research,collective,"Berlin",,,techno-subculture,,_lolsnake_founder;berghain_adjacent,78,"berlin-club;collective",Lolsnake collective,https://www.instagram.com/weeeirdos/
thestyleograph,The Styleograph / Christian Vierig,fashion_pfw,,tagged,street_style_photographer,"Paris;Berlin;Milan;NYC;CPH",pfw-streetstyle;runway-candid,fashion-week-reels,editorial-streetwear;front-row,professional;global-fashion-week,tagged_marquardt_pfw_post,89,"pfw;street-style;fashion-editorial",446k followers info@thestyleograph.com,https://www.instagram.com/thestyleograph/
